         1731171 function calls (1687584 primitive calls) in 168.502 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_1d)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(trim_zeros)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        3    0.000    0.000    0.001    0.000 <decorator-gen-1>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
      5/3    0.000    0.000    0.367    0.122 <frozen importlib._bootstrap>:1002(_gcd_import)
10299/328    0.014    0.000  155.374    0.474 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     7224    0.019    0.000    0.021    0.000 <frozen importlib._bootstrap>:103(release)
     3602    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:143(__init__)
     3602    0.005    0.000    0.047    0.000 <frozen importlib._bootstrap>:147(__enter__)
     3602    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap>:151(__exit__)
     7224    0.026    0.000    0.038    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     3588    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap>:176(cb)
     3622    0.006    0.000    0.033    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   5252/2    0.004    0.000  168.440   84.220 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    25673    0.012    0.000    0.012    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
     3685    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:342(__init__)
     2889    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:35(_new_module)
     6017    0.006    0.000    0.062    0.000 <frozen importlib._bootstrap>:376(cached)
     5942    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:389(parent)
     3134    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:397(has_location)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
     3134    0.018    0.000    0.111    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
